Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.091,2.727,Hai phương pháp gần nhau.
cross-doc,Faithfulness,3.455,3.091,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.091,2.727,Hai phương pháp gần nhau.
cross-doc,Latency (s),2.197,1.839,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,652.091,544.727,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,3.0,3.0,Hai phương pháp gần nhau.
factoid,Faithfulness,3.0,3.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,3.0,3.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.193,2.707,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,615.5,503.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,2.25,2.583,Hai phương pháp gần nhau.
multi-hop,Faithfulness,2.5,3.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,2.25,2.667,Hai phương pháp gần nhau.
multi-hop,Latency (s),2.473,2.341,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,684.667,601.75,GraphRAG không đắt hơn trong sample này.
